Планета;Звезда;Уточненная природа;Масса(Me);Радиус(Re);Плотн(г/см3);Т-ра(K);Период(дн);Орбита(а.е.);PRI;ESI;Статус ИИ;Надёжность ИИ
KIC 9592145 (AB)b;KIC 9592145 (AB);Газовый гигант;2629.65;11.26;10.16;264;730.00;1.788;0.753;0.349;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
[SCH06] J0359+2009 b;nan;Газовый гигант;4925.90;10.56;23.03;231;279.89;0.753;0.000;0.349;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
KOINTREAU-4 b;2MASS J16262785-2625152;Газовый гигант;4862.77;10.56;22.73;231;279.89;0.753;0.000;0.349;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
OGLE-2017-BLG-1237L b;OGLE-2017-BLG-1237L;Газовый гигант;1207.75;9.18;8.61;204;95.03;0.315;0.580;0.349;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
2MASS J2148+4003;nan;Газовый гигант;17488.53;11.10;70.52;266;83.42;0.312;0.000;0.350;Оригинал;Оригинал
WISE J1206+8401;nan;Газовый гигант;5402.60;10.56;25.26;233;279.89;0.753;0.000;0.350;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
OGLE-2016-BLG-1266L;nan;Газовый гигант;4957.68;10.56;23.18;233;279.89;0.753;0.000;0.350;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J0117-3403;nan;Газовый гигант;5211.92;10.56;24.36;233;279.89;0.753;0.000;0.350;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J1807+5015;nan;Газовый гигант;5091.16;10.56;23.80;233;279.89;0.753;0.000;0.350;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
DENIS J185950.9-370632;nan;Газовый гигант;5402.60;10.56;25.26;233;279.89;0.753;0.000;0.350;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J2033-5635;nan;Газовый гигант;4995.82;10.56;23.35;233;279.89;0.753;0.000;0.350;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
[H97b] 20346;nan;Газовый гигант;5053.02;10.56;23.62;233;279.89;0.753;0.000;0.350;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J0838+1511 C;nan;Газовый гигант;5084.80;10.56;23.77;233;279.89;0.753;0.000;0.350;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
WISE J0410+1502;nan;Газовый гигант;5084.80;10.56;23.77;233;279.89;0.753;0.000;0.350;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
OGLE-2016-BLG-1800L b;OGLE-2016-BLG-1800L;Газовый гигант;823.18;8.00;8.86;354;18.52;0.102;0.715;0.350;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2016-BLG-1800 b;OGLE-2016-BLG-1800;Газовый гигант;823.10;8.00;8.86;354;18.52;0.102;0.715;0.350;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
BRB 23;nan;Газовый гигант;8580.60;10.60;39.65;277;515.39;1.367;0.000;0.351;Оригинал;Оригинал
MOA-2022-BLG-091L b;MOA-2022-BLG-091L;Газовый гигант;1141.00;8.00;12.28;354;59.43;0.271;0.601;0.351;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1288 c;TOI-1288;Газовый гигант;1128.21;10.11;6.02;224;416.00;1.074;0.000;0.351;[Восстановлено ИИ];⚠️ НИЗКАЯ надёжность (экстраполяция)
2MASS J1214+6316;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J1214+6316 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
SDSS J1439+3042 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
SDSS J1039+3256 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
ULAS J2233+0022 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J1207+0244 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J1311+3629 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J1106+2754 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
ULAS J2356+0754 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
ULAS J2229+0102 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
ULAS J0047+1546 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
SDSS J0909+6525 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
SDSS J0351+4810 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J0119+2403 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J0052+0012 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
PSR J1301+0833 b;PSR J1301+0833;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J1737+5953 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
ULAS J2323+0719 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
ULAS J0205+1421 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
SDSS J0247-1631 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
WISEP J1741+2553;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J1516+0259 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
SDSS J1435+1129 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J1415+5724 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
CFBDS J2139+0220 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J1422+2215 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
PSO J237.1-23;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
Mayrit 1701117;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J1711+2232 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
SIMP J1619+0313;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
SIMP J1619+0313 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
WISE J1841+7000;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J2126+7617 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
2MASS J1516+3053 b;nan;Газовый гигант;11440.80;11.25;44.24;261;134.81;0.448;0.000;0.351;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
HD 183263 b;HD 183263;Газовый гигант;3793.99;10.63;17.41;235;624.87;1.458;0.000;0.351;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
MOA-2008-BLG-379L b;MOA-2008-BLG-379L;Газовый гигант;1300.00;8.00;13.99;184;175.52;0.506;0.258;0.352;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-16 (AB)b;Kepler-16 (AB);Газовый гигант;105.83;8.45;0.97;193;228.78;0.693;0.000;0.352;Оригинал;Оригинал
MOA-2011-BLG-293L b;MOA-2011-BLG-293L;Газовый гигант;1500.00;10.35;7.46;281;153.02;0.532;0.270;0.352;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TYC 7922-716-1 b;TYC 7922-716-1;Газовый гигант;21292.60;10.72;95.25;238;288.70;0.813;0.000;0.352;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
MOA-bin-1L b;MOA-bin-1L;Газовый гигант;1200.00;9.47;7.80;212;250.81;0.707;0.397;0.352;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 93083 b;HD 93083;Газовый гигант;1821.58;10.34;9.08;281;143.58;0.476;0.595;0.352;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
2MASS J0328+2302;nan;Газовый гигант;17294.68;10.98;71.89;266;83.42;0.312;0.000;0.352;Оригинал;Оригинал
2MASS J1526+2043;nan;Газовый гигант;17285.14;10.98;71.85;266;83.42;0.312;0.000;0.352;Оригинал;Оригинал
KMT-2019-BLG-2073;nan;Газовый гигант;59.11;8.00;0.64;351;53.21;0.251;0.000;0.352;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2024-BLG-3237;nan;Газовый гигант;67.28;8.00;0.72;351;53.21;0.251;0.000;0.352;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 13724 c;HD 13724;Газовый гигант;87.25;8.00;0.94;351;142.23;0.534;0.000;0.352;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-90 g;Kepler-90;Газовый гигант;14.94;8.10;0.15;347;210.61;0.736;0.000;0.352;Оригинал;Оригинал
MOA-2020-BLG-208 b;MOA-2020-BLG-208;Газовый гигант;68.90;8.00;0.74;351;40.02;0.199;0.000;0.352;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KMT-2019-BLG-2783L b;KMT-2019-BLG-2783L;Газовый гигант;368.68;8.49;3.31;333;12.59;0.074;0.000;0.353;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 221585 b;HD 221585;Газовый гигант;758.46;8.85;6.03;201;1173.00;2.307;0.087;0.353;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
GJ 2126 b;GJ 2126;Газовый гигант;2354.76;8.00;25.34;185;272.70;0.713;0.000;0.353;[Восстановлено ИИ];⚠️ СРЕДНЯЯ надёжность (требует осторожности)
Kepler-1708 b;Kepler-1708;Газовый гигант;1462.01;9.96;8.15;223;737.11;1.643;0.434;0.353;Оригинал;Оригинал
2MASS J0243-2453;nan;Газовый гигант;13852.90;10.54;65.25;275;218.53;0.668;0.000;0.353;Оригинал;Оригинал
2MASS J0742+2055;nan;Газовый гигант;13802.05;10.54;65.01;275;218.53;0.668;0.000;0.353;Оригинал;Оригинал
2MASS J1615+1340;nan;Газовый гигант;13458.83;10.54;63.40;275;218.53;0.668;0.000;0.353;Оригинал;Оригинал
CFBDS J1504+1027;nan;Газовый гигант;13973.67;10.54;65.82;275;218.53;0.668;0.000;0.353;Оригинал;Оригинал
2MASS J1624+0029;nan;Газовый гигант;13614.55;10.54;64.13;275;218.53;0.668;0.000;0.353;Оригинал;Оригинал
2MASS J0034+0523;nan;Газовый гигант;13388.91;10.54;63.07;275;218.53;0.668;0.000;0.353;Оригинал;Оригинал
FN Lyr b;FN Lyr;Газовый гигант;3542.46;10.94;14.93;265;794.80;1.881;0.274;0.353;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
Kepler-30 d;Kepler-30;Газовый гигант;23.10;8.80;0.19;323;143.34;0.534;0.000;0.353;Оригинал;Оригинал
2MASS J1750+1759;nan;Газовый гигант;15054.19;10.87;64.53;266;126.93;0.429;0.000;0.354;Оригинал;Оригинал
